Number	Description	Al	N(-3)	Sb	As	Ba	Pb	B	Br	Cd	Ca	Cl	Cr	Fe	F	K	Co	Cu	Li	Mg	Mn	C(-4)	Mo	Na	Ni	N(+5)	N(+3)	P	PH	Hg	Alkalinity	H2S	Se	Ag	Si	Si	S(+6)	H2S	Tl	U	V	Zn
		mg/l	mg/l	ug/l	ug/l	mg/l	ug/l	ug/l	mg/l	ug/l	mg/l	mg/l	ug/l	mg/l	mg/l	mg/l	ug/l	ug/l	ug/l	mg/l	mg/l	mg/l	ug/l	mg/l	ug/l	mg/l	mg/l	mg/l		ug/l	mmol/l as HCO3	mg/l	ug/l	ug/l	ug/l	mg/l	mg/l	mg/l	ug/l	ug/l	ug/l	ug/l
1	10L54165002_25-09-02	0,002	13,61		0,2		0,2	670		0,02	610	4270	0,3	13,7		38,8		0,5		140	3,36			1300	0,5	0,22	0,04	0,05	7,02	0,002	10,83					62,9	174					5
2	10L62076008_27-01-93	5,8	0,001288		1		1	100		0,85	8,9	2,3	1	0,02		1,5		1,7		7,2	0,71			13	11	0,02	30,14		4,17	0,0022	0,03					49,9	22					16
3	10L62023004_24-01-91	0,08	0,27								22	9		0,27		1,8				4,1	0,11			55		2,21	0,21	5,23	7,74		3,45					37,5	9,73					
4	10L54141002_30-09-02	0,002	15,35		0,2		0,2	720		0,02	166	1094	0,3	3,9		52,4		3,3		130	0,4			315	1,2	0,22	0,01	0,76	7,11	0,0016	11,98					35,8	3,7					1,1
5	10L58064003_19-12-97	6,7	0,45								112	16,4		6,4		4				12	0,26			15		0,22	0,19	0,49	7,19		5,92					29,7	14,3					
6	10L03003001_10-07-90	0,07	1		1	0,1	2	260	0,09	0,5	68	196	2	1,8	0,41	4,5	2	5		13	0,17	0,1		170	2	0,04	0,01	0,6		0,5	6,51		1	10		26	6				10	30
7	10L60004010_04-12-97		0,32								94	26		7,8		1,4				7,7	0,42			9,8		0,44	0,006569	1,71	7,19		5					25	4,5					
8	10L55036001_28-01-91	0,01	1,02		17		0,2			0,05	62	209	0,2	1,5		7,6		0,2		21	0,09			200	0,5	2,21	0,01	0,06	7,56	0,001	7,39					23,6	17,9					2,7
9	10L56016004_11-12-97		2,44								120	26		35		1,9				6,3	0,83			22		0,44	0,006569	0,04	6,64		7,9					22	3					
10	10L55036001_07-10-91	0,005	0,92								63	192		1,6		8,4				20	0,08			200		2,21	0,01	0,06	6,97		7,49					21,9	19,6					
11	10L55036001_26-09-96	0,002	1,11		10		1			0,2	63	214	1	1,23		8,5		1		20	0,07			190	4,2	0,22	0,003284	0,02	7,08	0,0011	7,65					21,7	18,5					7,5
12	10L61020002_15-09-08	0,01	21,5		0,5		0,2			0,02	71,8	208	0,9	12,3		21,8		0,5		62,3	0,78			183	0,5	0,22	0,02	2,59	6,19	0,001	12,79					21,5	28,9				1,3	1,6
13	10L55036001_19-09-95	0,01	1,06		11		3,6	364		0,2	64,2	217	1	1,5		8,2		7,7		24,1	0,03			190	24	0,22	0,0032845	0,03	7,2	0,007	7,55					21,2	19,18					65
14	10L62082008_10-01-90	0,02	22		1	0,05	1	350	0,11	0,5	62	9	2	1,9	0,05	8,3	2	5		20	0,25	0,3		27	2	0,13	0,01	9,2		0,5	6,75		1	10		21,03	1				10	10
15	10L62082008_13-11-02	0,01	13,77								65,7	10,6		1,9		5,9				17,4	0,29			25,2		0,3	0,03	6,34	7,27		6,55					20,94	1					
16	10L54132010_30-09-02	0,002	0,45		0,2		0,2	84		0,02	74,5	119	0,2	0,68		2,58		0,5		6,24	0,15			79	1,8	0,22	0,0032845	0,11	7,47	0,0012	4,36					20,9	5,6					2,9
17	10L61020002_23-01-91	0,01	22,02		0,6		0,2			0,05	63	177	0,5	12		19		0,2		56	0,87			180	0,2	2,21	0,01	0,06	7,15	0,001	12,5					20,7	5					9,2
18	10L53087007_23-11-93	0,01	0,36		1		1	100		0,2		9	1	1,8		2,3		1		9,2	0,09			7,6	1	0,22	0,003284	0,05	6,78	0,005	4,28					20,7	10,8					5
19	10L62082008_04-11-15	0,01	16,35						0,12		64	8,9		1,61		7,4				16	0,27			27		1,01	0,03	6,74	7,24		6,54					20,24	1					
20	10L57002002_15-11-90	0,01	0,48								103	25		1,8		1,9				9,4	0,15			16		2,21	0,01	0,06	7,11		5,88					19,7	8,73					
21	10L59092002_09-11-94	0,01	0,6		7,7		1	70		0,2	100	33	1	2,43		3,8		1		14	0,25			26	1	0,22	0,006569	0,05	6,95	0,005	6,74					19,7	6,51					5
22	10L55036001_20-09-01	0,002	1,13		15		0,2	360		0,02	64,7	213	0,2	1,42		7,72		0,5		19,2				170	0,5	0,22	0,0032845	0,05	7,23	0,001	7,57					19,7	19,9					1,8
23	10L58026001_12-11-90	0,01	0,61								88	20		1,5		2,5				7,8	0,13			19		2,21	0,01	0,06	6,89		5,51					19,2	3					
24	10L59092002_29-10-91	0,005	0,5								110	33		2,5		3,6				14	0,24			24		2,21	0,01	0,06	6,81		6,73					19,2	6,39					
25	10L55036001_06-10-92	0,01	0,98		1,8		1	340		0,2	65	210	1			9,1		1		21	0,08			190	1	2,21	0,01	0,06	6,98	0,005						19						5
26	10L58094002_15-11-90	0,01	0,55								102	19		2,1		2,5				10	0,19			14		2,21	0,01	0,06	7,05		6,16					18,9	3,58					
