"MS_NR";"LGD_NR";"M_NAME1";"BAUJAHR";"FKTFAEHG";"ANZ_ANALYSEN";"BEGINN";"ENDE";"Chem_ Mon_ operativ";"Chem_ Mon_tiefeGWK";"Chem_ Mon_ueberblick";"EUA_MN_alt_ bis_2015";"EUA_MN_ab_2015";"EUA_TeilMN_LW";"EU_NO3_MN_alt_bis_2015"
"10L54106009";"1144";"RANTRUMFELD F1";"1995";"voll funktionsfähig";16;1996;2015;"ja";;"ja";;;;
"10L54151015";"1152";"WESTERLAND BEO 24A";"1988";"voll funktionsfähig";7;1997;2010;"ja";;"ja";;;;
"10L54118007";"1169";"SCHWESING KA F1";"1997";"voll funktionsfähig";14;1998;2015;"ja";;"ja";;;;
"10L54062009";"1199";"KARLUMFELD SÜD";"1996";"voll funktionsfähig";17;1996;2015;"ja";;"ja";;;;
"10L54001003";"1281";"ACHTRUP TETTWANG F1";"1985";"voll funktionsfähig";34;1985;2015;"ja";;"ja";;;;
"10L54085021";"1284";"NEBEL BEO 7B F1";"1986";"voll funktionsfähig";33;1986;2015;"ja";;"ja";;;;
"10L54131001";"1290";"SÜDERLÜGUMFELD";"1992";"voll funktionsfähig";25;1993;2015;;;;"ja";"ja";;
"10L54012001";"1291";"BOHMSTEDTER FORST";"1992";"voll funktionsfähig";25;1993;2015;"ja";;"ja";"ja";"ja";;
"10L54125002";"1292";"STADUM SÜD";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";"ja";"ja";"ja";"ja"
"10L54045001";"1293";"HÖGELFELD";"1994";"voll funktionsfähig";33;1995;2015;"ja";;"ja";;;;
"10L54158003";"1332";"WITSUM BEO 50 F1";"1988";"voll funktionsfähig";22;1988;2015;"ja";;"ja";;;;
"10L54005004";"1356";"ALKERSUM SÜD BEO 26 F1A";"1995";"voll funktionsfähig";26;1995;2012;"ja";;"ja";;;;
"10L54085027";"1367";"NEBEL BEO 14 F1";"1994";"voll funktionsfähig";7;1994;2015;"ja";;"ja";;;;
"10L54156002";"1375";"WINNERT F1";"1996";"voll funktionsfähig";15;1997;2015;"ja";;"ja";;;;
"10L54141002";"1382";"UELVESBÜLL";"1997";"voll funktionsfähig";6;2002;2013;;;"ja";;;;
"10L54132010";"1383";"DARRIGBÜLLKOOG";"1997";"voll funktionsfähig";6;2002;2013;;;"ja";;;;
"10L54091003";"1384";"NORDSTRAND";"1997";"voll funktionsfähig";6;2002;2013;;;"ja";;;;
"10L54109003";"1388";"LINDHOLM";"1997";"voll funktionsfähig";13;2002;2015;"ja";;"ja";;"ja";;
"10L54165002";"1389";"NEUGALMSBÜLL";"1997";"beseitigt";3;2002;2006;;;"ja";;;;
