                 sim	               state	                soln	              dist_x	                time	                step	                  pH	                  pe	                 Alk	            mass_H2O	              charge	             pct_err	                  Al	               N(-3)	                  Ba	                  Ca	                  Cl	                  Fe	                   F	                   K	                  Mg	                  Mn	                  Na	                  Ni	               N(+5)	               N(+3)	                   P	                  Si	                S(6)	                  Zn	          Alkalinity	                   N	                   C	          si_Calcite	        si_Aragonite	        si_Kaolinite	         si_Gibbsite	       si_Montmor-Ca	           si_Illite	  si_Clinochlore-14A	     si_Pyrophyllite	         si_Goethite	          si_Fe(OH)3	         si_SiO2(am)	           si_CO2(g)	         Description	
                   1	              i_soln	                   1	                 -99	                 -99	                 -99	  7.000000000000e+00	  4.000000000000e+00	  1.007286391555e-02	  1.000000000000e+00	 -3.335660761164e-02	 -1.452977049971e+01	  0.000000000000e+00	  9.348899519667e-04	  0.000000000000e+00	  1.533122158911e-02	  1.213197553907e-01	  2.344749599837e-04	  0.000000000000e+00	  9.789909760547e-04	  5.802102234835e-03	  5.500489960800e-05	  5.695883865980e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.039589107949e-03	  1.824908187361e-03	  7.702143994148e-08	  1.007286391555e-02	  9.348899519667e-04	  1.145422697409e-02	  7.159780652096e-01	  5.704614588947e-01	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	  6.875716122476e+00	  1.764921678969e+00	 -2.420822705427e-01	 -1.354342189566e+00	 10L54165002_25-09-02 	
                   1	              i_soln	                   2	                 -99	                 -99	                 -99	  4.000000000000e+00	  4.000000000000e+00	 -3.892230458030e-04	  1.000000000000e+00	 -1.440951912987e-04	 -3.230229095048e+00	  1.853375923938e-04	  0.000000000000e+00	  0.000000000000e+00	  1.996381555636e-04	  5.642093549066e-05	  0.000000000000e+00	  0.000000000000e+00	  2.558006997325e-05	  2.880461118636e-04	  0.000000000000e+00	  5.655457745545e-04	  1.874511798975e-07	  0.000000000000e+00	  2.142126089304e-03	  0.000000000000e+00	  8.157794242372e-04	  2.290978894272e-04	  2.447193148396e-07	 -3.892230458030e-04	  2.142126089304e-03	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	  3.035020021142e+00	  2.245120679350e-01	  7.265575105976e-01	 -6.547633906870e-01	 -3.867381955645e+01	  3.286215922284e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -3.457391443916e-01	 -9.999990000000e+02	 10L62076008_27-01-93 	
                   1	              i_soln	                   3	                 -99	                 -99	                 -99	  7.000000000000e+00	  4.000000000000e+00	  3.000981329297e-03	  1.000000000000e+00	  2.609705823406e-04	  3.579669720814e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  5.491091475335e-04	  2.539424074300e-04	  0.000000000000e+00	  0.000000000000e+00	  2.558492593708e-05	  1.646290244420e-04	  0.000000000000e+00	  2.393147875889e-03	  0.000000000000e+00	  1.428355158268e-04	  0.000000000000e+00	  1.614795584923e-04	  6.161136451403e-04	  9.373965544129e-05	  0.000000000000e+00	  3.000981329297e-03	  1.428355158268e-04	  3.347038170028e-03	 -8.234721128440e-01	 -9.689887191589e-01	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -4.682349489963e-01	 -1.766228754008e+00	 10L62023004_24-01-91 	
                   1	              i_soln	                   4	                 -99	                 -99	                 -99	  7.000000000000e+00	  4.000000000000e+00	  1.102740016715e-02	  1.000000000000e+00	 -6.753143656545e-03	 -8.950299457733e+00	  0.000000000000e+00	  1.073583632426e-03	  0.000000000000e+00	  4.152240466880e-03	  3.093488143836e-02	  5.385200230738e-05	  0.000000000000e+00	  1.333293981143e-03	  5.362016875428e-03	  0.000000000000e+00	  1.373585856120e-02	  1.708111985495e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  5.840708856657e-04	  3.131414144708e-05	  1.533095158720e-08	  1.102740016715e-02	  1.073583632426e-03	  1.291425094077e-02	  3.830918838889e-01	  2.375752775740e-01	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	  6.234928679654e+00	  1.125197249565e+00	 -4.917069131950e-01	 -1.244955375958e+00	 10L54141002_30-09-02 	
                   1	              i_soln	                   6	                 -99	                 -99	                 -99	  7.000000000000e+00	  4.000000000000e+00	  6.005112335287e-03	  1.000000000000e+00	  4.120833794951e-04	  1.764775346466e+00	  0.000000000000e+00	  7.145523612851e-05	  0.000000000000e+00	  1.698137127599e-03	  5.533203478232e-03	  1.792132175195e-05	  0.000000000000e+00	  1.023934090107e-04	  5.353251070337e-04	  0.000000000000e+00	  7.400884283456e-03	  3.410639140846e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  4.331719219441e-04	  6.252589841202e-05	  4.591766581501e-07	  6.005112335287e-03	  7.145523612851e-05	  7.186843177903e-03	 -9.734740630647e-02	 -2.428640126214e-01	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	  5.929447676297e+00	  8.200596576810e-01	 -6.213612453711e-01	 -1.457211513304e+00	 10L03003001_10-07-90 	
                   1	              i_soln	                   7	                 -99	                 -99	                 -99	  7.000000000000e+00	  4.000000000000e+00	  5.002396170777e-03	  1.000000000000e+00	  8.970375447473e-05	  7.965036955891e-01	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.346550426933e-03	  7.337229629348e-04	  1.254025218738e-04	  0.000000000000e+00	  2.558881675560e-05	  2.881446055992e-04	  0.000000000000e+00	  3.916655694003e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.230082308775e-05	  4.163563110837e-04	  4.166840482936e-05	  0.000000000000e+00	  5.002396170777e-03	  0.000000000000e+00	  5.913426259410e-03	  3.357667362095e-03	 -1.421589389528e-01	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	  6.828846329204e+00	  1.719552553477e+00	 -6.383993381297e-01	 -1.536409280896e+00	 10L60004010_04-12-97 	
                   1	              i_soln	                   8	                 -99	                 -99	                 -99	  7.000000000000e+00	  4.000000000000e+00	  7.006796770840e-03	  1.000000000000e+00	  4.127457072330e-04	  1.547041369866e+00	  0.000000000000e+00	  7.146372573575e-05	  0.000000000000e+00	  1.548485452625e-03	  5.900902671953e-03	  1.792345098686e-05	  0.000000000000e+00	  1.792097551771e-04	  8.648586839136e-04	  0.000000000000e+00	  8.707957157199e-03	  0.000000000000e+00	  1.429274514715e-04	  0.000000000000e+00	  0.000000000000e+00	  3.832360732610e-04	  1.771777601827e-04	  3.061541419981e-08	  7.006796770840e-03	  2.143911772072e-04	  8.375752173136e-03	 -8.921077781901e-02	 -2.347273841339e-01	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	  5.889537581469e+00	  7.801256152226e-01	 -6.745842798673e-01	 -1.393726626311e+00	 10L55036001_28-01-91 	
                   1	              i_soln	                   9	                 -99	                 -99	                 -99	  6.000000000000e+00	  4.000000000000e+00	  7.004651139491e-03	  1.000000000000e+00	  1.065230816295e-03	  6.896659159964e+00	  0.000000000000e+00	  1.428836840225e-04	  0.000000000000e+00	  2.996150851336e-03	  7.338587938567e-04	  6.271286854702e-04	  0.000000000000e+00	  2.559355390129e-05	  2.470268130423e-04	  0.000000000000e+00	  9.575819653486e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.664613825892e-04	  3.125708903913e-05	  0.000000000000e+00	  7.004651139491e-03	  1.428836840225e-04	  2.031301290581e-02	 -7.880396819500e-01	 -9.335562882650e-01	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	  4.559508501179e+00	 -5.499012921986e-01	 -6.933403415775e-01	 -4.113680863364e-01	 10L56016004_11-12-97 	
                   1	              i_soln	                  10	                 -99	                 -99	                 -99	  6.000000000000e+00	  4.000000000000e+00	  7.006677414725e-03	  1.000000000000e+00	  7.761690360649e-04	  2.964174904270e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.573434221581e-03	  5.420832600810e-03	  1.792314567281e-05	  0.000000000000e+00	  2.048076599523e-04	  8.236609063068e-04	  0.000000000000e+00	  8.707808822950e-03	  0.000000000000e+00	  1.429250167976e-04	  0.000000000000e+00	  0.000000000000e+00	  3.499052368211e-04	  1.980188293809e-04	  0.000000000000e+00	  7.006677414725e-03	  1.429250167976e-04	  2.091597422305e-02	 -1.078258093993e+00	 -1.223774700308e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	  2.987324646600e+00	 -2.122175872902e+00	 -7.134348485281e-01	 -3.917948424039e-01	 10L55036001_07-10-91 	
                   1	              i_soln	                  11	                 -99	                 -99	                 -99	  7.000000000000e+00	  4.000000000000e+00	  7.006747711051e-03	  1.000000000000e+00	 -4.810389991620e-05	 -1.831809107878e-01	  0.000000000000e+00	  7.146322536511e-05	  0.000000000000e+00	  1.573450007472e-03	  6.042030287296e-03	  1.792332549146e-05	  0.000000000000e+00	  2.048097147388e-04	  8.236691699005e-04	  0.000000000000e+00	  8.272501377006e-03	  6.822040952268e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.499087473371e-04	  1.875986678431e-04	  1.071531994349e-07	  7.006747711051e-03	  7.146322536511e-05	  8.377567563607e-03	 -8.070980406373e-02	 -2.262264103786e-01	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	  5.889623103087e+00	  7.802144293919e-01	 -7.140866893020e-01	 -1.393183245936e+00	 10L55036001_26-09-96 	
